Latitude,Longitude,Risk_Rating
25.2,91.55,0.1755
25.2,91.559951,0.2895
25.2,91.569901,0.0942
25.2,91.579852,0.1534
25.2,91.589802,0.1665
25.2,91.599753,0.1395
25.2,91.609703,0.3733
25.2,91.619654,0.1654
25.2,91.629605,0.4619
25.2,91.639555,0.5112
25.2,91.649506,0.1594
25.2,91.659456,0.444
25.2,91.669407,0.1856
25.2,91.679357,0.1234
25.2,91.689308,0.1134
25.2,91.699259,0.0939
25.2,91.709209,0.1449
25.2,91.71916,0.0989
25.2,91.72911,0.1148
25.2,91.739061,0.1228
25.2,91.749012,0.1356
25.2,91.758962,0.4474
25.2,91.768913,0.1508
25.2,91.778863,0.4209
25.2,91.788814,0.2002
25.2,91.798764,0.5182
25.2,91.808715,0.1389
25.2,91.818666,0.5003
25.2,91.828616,0.358
25.2,91.838567,0.1318
25.2,91.848517,0.1738
25.2,91.858468,0.1192
25.2,91.868418,0.1534
25.2,91.878369,0.3943
25.2,91.88832,0.099
25.2,91.89827,0.1005
25.2,91.908221,0.1277
25.2,91.918171,0.1618
25.2,91.928122,0.1644
25.2,91.938072,0.1672
25.2,91.948023,0.6714
25.2,91.957974,0.122
25.2,91.967924,0.1292
25.2,91.977875,0.196
25.2,91.987825,0.1057
25.2,91.997776,0.1504
25.2,92.007726,0.1015
25.2,92.017677,0.5333
25.2,92.027628,0.1994
25.2,92.037578,0.4926
25.2,92.047529,0.8559
25.208983,91.55,0.4521
25.208983,91.559951,0.4611
25.208983,91.569901,0.3975
25.208983,91.579852,0.1395
25.208983,91.589802,0.2609
25.208983,91.599753,0.2252
25.208983,91.609703,0.4
25.208983,91.619654,0.542
25.208983,91.629605,0.4412
25.208983,91.639555,0.3639
25.208983,91.649506,0.1248
25.208983,91.659456,0.5436
25.208983,91.669407,0.0797
25.208983,91.679357,0.4021
25.208983,91.689308,0.1834
25.208983,91.699259,0.3249
25.208983,91.709209,0.3415
25.208983,91.71916,0.8326
25.208983,91.72911,0.1039
25.208983,91.739061,0.5508
25.208983,91.749012,0.883
25.208983,91.758962,0.3781
25.208983,91.768913,0.3742
25.208983,91.778863,0.1228
25.208983,91.788814,0.3539
25.208983,91.798764,0.4633
25.208983,91.808715,0.0978
25.208983,91.818666,0.1264
25.208983,91.828616,0.1089
25.208983,91.838567,0.0896
25.208983,91.848517,0.1379
25.208983,91.858468,0.1459
25.208983,91.868418,0.1478
25.208983,91.878369,0.3856
25.208983,91.88832,0.3508
25.208983,91.89827,0.5105
25.208983,91.908221,0.6168
25.208983,91.918171,0.4581
25.208983,91.928122,0.1154
25.208983,91.938072,0.1133
25.208983,91.948023,0.3533
25.208983,91.957974,0.1042
25.208983,91.967924,0.091
25.208983,91.977875,0.0986
25.208983,91.987825,0.3654
25.208983,91.997776,0.1651
25.208983,92.007726,0.7799
25.208983,92.017677,0.4403
25.208983,92.027628,0.797
25.208983,92.037578,0.121
25.208983,92.047529,0.8019
25.217966,91.55,0.1398
25.217966,91.559951,0.1516
25.217966,91.569901,0.8753
25.217966,91.579852,0.422
25.217966,91.589802,0.239
25.217966,91.599753,0.5411
25.217966,91.609703,0.4422
25.217966,91.619654,0.4633
25.217966,91.629605,0.3294
25.217966,91.639555,0.5213
25.217966,91.649506,0.121
25.217966,91.659456,0.4826
25.217966,91.669407,0.4827
25.217966,91.679357,0.5249
25.217966,91.689308,0.8851
25.217966,91.699259,0.1423
25.217966,91.709209,0.5532
25.217966,91.71916,0.8687
25.217966,91.72911,0.5241
25.217966,91.739061,0.551
25.217966,91.749012,0.8901
25.217966,91.758962,0.3716
25.217966,91.768913,0.3857
25.217966,91.778863,0.3958
25.217966,91.788814,0.389
25.217966,91.798764,0.3485
25.217966,91.808715,0.1259
25.217966,91.818666,0.1155
25.217966,91.828616,0.5763
25.217966,91.838567,0.578
25.217966,91.848517,0.1411
25.217966,91.858468,0.1582
25.217966,91.868418,0.1347
25.217966,91.878369,0.334
25.217966,91.88832,0.112
25.217966,91.89827,0.1004
25.217966,91.908221,0.1247
25.217966,91.918171,0.1122
25.217966,91.928122,0.101
25.217966,91.938072,0.1086
25.217966,91.948023,0.1721
25.217966,91.957974,0.1239
25.217966,91.967924,0.1049
25.217966,91.977875,0.3015
25.217966,91.987825,0.5073
25.217966,91.997776,0.3266
25.217966,92.007726,0.6486
25.217966,92.017677,0.3717
25.217966,92.027628,0.1409
25.217966,92.037578,0.1264
25.217966,92.047529,0.1174
25.226949,91.55,0.2005
25.226949,91.559951,0.6535
25.226949,91.569901,0.1769
25.226949,91.579852,0.3089
25.226949,91.589802,0.4623
25.226949,91.599753,0.4821
25.226949,91.609703,0.3397
25.226949,91.619654,0.1654
25.226949,91.629605,0.3747
25.226949,91.639555,0.8278
25.226949,91.649506,0.8472
25.226949,91.659456,0.8331
25.226949,91.669407,0.8283
25.226949,91.679357,0.497
25.226949,91.689308,0.4321
25.226949,91.699259,0.1021
25.226949,91.709209,0.909
25.226949,91.71916,0.8297
25.226949,91.72911,0.5321
25.226949,91.739061,0.2643
25.226949,91.749012,0.8353
25.226949,91.758962,0.0683
25.226949,91.768913,0.3261
25.226949,91.778863,0.1261
25.226949,91.788814,0.3883
25.226949,91.798764,0.4
25.226949,91.808715,0.8153
25.226949,91.818666,0.4267
25.226949,91.828616,0.1478
25.226949,91.838567,0.6517
25.226949,91.848517,0.6594
25.226949,91.858468,0.5744
25.226949,91.868418,0.1364
25.226949,91.878369,0.3787
25.226949,91.88832,0.1011
25.226949,91.89827,0.5523
25.226949,91.908221,0.5478
25.226949,91.918171,0.1623
25.226949,91.928122,0.4228
25.226949,91.938072,0.1145
25.226949,91.948023,0.1241
25.226949,91.957974,0.129
25.226949,91.967924,0.0985
25.226949,91.977875,0.106
25.226949,91.987825,0.3385
25.226949,91.997776,0.5702
25.226949,92.007726,0.822
25.226949,92.017677,0.8131
25.226949,92.027628,0.5289
25.226949,92.037578,0.3612
25.226949,92.047529,0.1448
25.235932,91.55,0.6286
25.235932,91.559951,0.6415
25.235932,91.569901,0.1444
25.235932,91.579852,0.2576
25.235932,91.589802,0.4235
25.235932,91.599753,0.1905
25.235932,91.609703,0.1235
25.235932,91.619654,0.2203
25.235932,91.629605,0.2085
25.235932,91.639555,0.1625
25.235932,91.649506,0.1686
25.235932,91.659456,0.1056
25.235932,91.669407,0.1373
25.235932,91.679357,0.2837
25.235932,91.689308,0.1694
25.235932,91.699259,0.1182
25.235932,91.709209,0.9063
25.235932,91.71916,0.4956
25.235932,91.72911,0.4648
25.235932,91.739061,0.3342
25.235932,91.749012,0.2959
25.235932,91.758962,0.1075
25.235932,91.768913,0.3775
25.235932,91.778863,0.5858
25.235932,91.788814,0.1177
25.235932,91.798764,0.8082
25.235932,91.808715,0.5555
25.235932,91.818666,0.5716
25.235932,91.828616,0.1016
25.235932,91.838567,0.6278
25.235932,91.848517,0.5676
25.235932,91.858468,0.653
25.235932,91.868418,0.5679
25.235932,91.878369,0.9458
25.235932,91.88832,0.8603
25.235932,91.89827,0.5778
25.235932,91.908221,0.1912
25.235932,91.918171,0.641
25.235932,91.928122,0.1452
25.235932,91.938072,0.5202
25.235932,91.948023,0.0896
25.235932,91.957974,0.5961
25.235932,91.967924,0.4834
25.235932,91.977875,0.4736
25.235932,91.987825,0.3227
25.235932,91.997776,0.2629
25.235932,92.007726,0.382
25.235932,92.017677,0.0977
25.235932,92.027628,0.1432
25.235932,92.037578,0.1665
25.235932,92.047529,0.3331
25.244916,91.55,0.7153
25.244916,91.559951,0.6183
25.244916,91.569901,0.1969
25.244916,91.579852,0.5051
25.244916,91.589802,0.208
25.244916,91.599753,0.5057
25.244916,91.609703,0.4248
25.244916,91.619654,0.4
25.244916,91.629605,0.1882
25.244916,91.639555,0.4756
25.244916,91.649506,0.4566
25.244916,91.659456,0.5226
25.244916,91.669407,0.3842
25.244916,91.679357,0.2982
25.244916,91.689308,0.4723
25.244916,91.699259,0.8826
25.244916,91.709209,0.5472
25.244916,91.71916,0.0876
25.244916,91.72911,0.1025
25.244916,91.739061,0.7957
25.244916,91.749012,0.4571
25.244916,91.758962,0.9006
25.244916,91.768913,0.3143
25.244916,91.778863,0.9074
25.244916,91.788814,0.3223
25.244916,91.798764,0.9313
25.244916,91.808715,0.2989
25.244916,91.818666,0.2663
25.244916,91.828616,0.7843
25.244916,91.838567,0.465
25.244916,91.848517,0.523
25.244916,91.858468,0.6304
25.244916,91.868418,0.3718
25.244916,91.878369,0.7749
25.244916,91.88832,0.122
25.244916,91.89827,0.3748
25.244916,91.908221,0.6101
25.244916,91.918171,0.641
25.244916,91.928122,0.1839
25.244916,91.938072,0.1259
25.244916,91.948023,0.3371
25.244916,91.957974,0.4899
25.244916,91.967924,0.8555
25.244916,91.977875,0.3436
25.244916,91.987825,0.3914
25.244916,91.997776,0.1075
25.244916,92.007726,0.3558
25.244916,92.017677,0.4477
25.244916,92.027628,0.5698
25.244916,92.037578,0.1275
25.244916,92.047529,0.1341
25.253899,91.55,0.2245
25.253899,91.559951,0.1463
25.253899,91.569901,0.1262
25.253899,91.579852,0.4981
25.253899,91.589802,0.4721
25.253899,91.599753,0.1397
25.253899,91.609703,0.4232
25.253899,91.619654,0.4625
25.253899,91.629605,0.5521
25.253899,91.639555,0.3607
25.253899,91.649506,0.7784
25.253899,91.659456,0.291
25.253899,91.669407,0.343
25.253899,91.679357,0.2851
25.253899,91.689308,0.337
25.253899,91.699259,0.8681
25.253899,91.709209,0.0982
25.253899,91.71916,0.3007
25.253899,91.72911,0.106
25.253899,91.739061,0.5133
25.253899,91.749012,0.4961
25.253899,91.758962,0.8366
25.253899,91.768913,0.8528
25.253899,91.778863,0.4114
25.253899,91.788814,0.1462
25.253899,91.798764,0.389
25.253899,91.808715,0.0928
25.253899,91.818666,0.8913
25.253899,91.828616,0.7503
25.253899,91.838567,0.8601
25.253899,91.848517,0.7716
25.253899,91.858468,0.0784
25.253899,91.868418,0.8558
25.253899,91.878369,0.7929
25.253899,91.88832,0.1161
25.253899,91.89827,0.1579
25.253899,91.908221,0.5708
25.253899,91.918171,0.5494
25.253899,91.928122,0.628
25.253899,91.938072,0.6609
25.253899,91.948023,0.549
25.253899,91.957974,0.4745
25.253899,91.967924,0.3691
25.253899,91.977875,0.3833
25.253899,91.987825,0.8093
25.253899,91.997776,0.5932
25.253899,92.007726,0.5138
25.253899,92.017677,0.1251
25.253899,92.027628,0.1362
25.253899,92.037578,0.7912
25.253899,92.047529,0.547
25.262882,91.55,0.1472
25.262882,91.559951,0.2442
25.262882,91.569901,0.879
25.262882,91.579852,0.2276
25.262882,91.589802,0.1755
25.262882,91.599753,0.5492
25.262882,91.609703,0.1856
25.262882,91.619654,0.1446
25.262882,91.629605,0.4185
25.262882,91.639555,0.7933
25.262882,91.649506,0.5109
25.262882,91.659456,0.5105
25.262882,91.669407,0.2793
25.262882,91.679357,0.5039
25.262882,91.689308,0.4256
25.262882,91.699259,0.2738
25.262882,91.709209,0.1006
25.262882,91.71916,0.1108
25.262882,91.72911,0.0805
